Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),CO selectivity (%),Methanol selectivity (%),STY_CH3OH (g/kg·h) (LN scale),CO2 conversion efficiency (%),,,,DOI,Name,Year
0.7069,Si,0.0021187,Zr,0.6416,4.804021045,Co-precipitation,350,2,240,20,3,9.655026193,70.11357891,28.9315,4.945662327,8.65836,,,,10.1016/j.cej.2017.02.010,,2017
0.7069,Si,0.0021187,Zr,0.6416,4.804021045,Co-precipitation,350,2,260,20,3,9.655026193,88.60614452,12.274,4.55075279,13.70263,,,,10.1016/j.cej.2017.02.010,,2017
0.7069,Si,0.0021187,Zr,0.6416,4.804021045,Co-precipitation,350,2,280,20,3,9.655026193,92.83705554,7.0137,4.287118076,18.36316,,,,10.1016/j.cej.2017.02.010,,2017
1,Null,,Null,,2.272125886,Mechanical grinding,350,3,250,30,2.88,7.677863501,100,0,0,0.8,,,,10.1007/s11814-017-0278-8,CO2 hydrogenation to methanol over Cu/ZnO catalysts synthesized via a facile solid-phase grinding process using oxalic acid,2018
1,(COOH)2,0.25,Null,,2.694627181,Mechanical grinding,350,3,250,30,2.88,7.677863501,100,0,0,1.8,,,,10.1007/s11814-017-0278-8,,2018
1,(COOH)2,0.5,Null,,3.165475048,Mechanical grinding,350,3,250,30,2.88,7.677863501,92.6,7.4,1.696108279,7.8,,,,10.1007/s11814-017-0278-8,,2018
1,(COOH)2,1,Null,,3.258096538,Mechanical grinding,350,3,250,30,2.88,7.677863501,19.4,80.6,5.095480867,26.1,,,,10.1007/s11814-017-0278-8,,2018
1,(COOH)2,1.5,Null,,3.47506723,Mechanical grinding,350,3,250,30,2.88,7.677863501,16.3,83.7,5.151859355,26.6,,,,10.1007/s11814-017-0278-8,,2018
1,(COOH)2,1.75,Null,,3.642835516,Mechanical grinding,350,3,250,30,2.88,7.677863501,16.4,83.6,5.243412143,29.2,,,,10.1007/s11814-017-0278-8,,2018
1,(COOH)2,2,Null,,3.546739687,Mechanical grinding,350,3,250,30,2.88,7.677863501,18.9,81.1,5.178560706,28.2,,,,10.1007/s11814-017-0278-8,,2018
1,(COOH)2,2.5,Null,,3.471966453,Mechanical grinding,350,3,250,30,2.88,7.677863501,18.3,81.7,5.209103002,28,,,,10.1007/s11814-017-0278-8,,2018
1,(COOH)2,4,Null,,3.394508394,Mechanical grinding,350,3,250,30,2.88,7.677863501,19.3,80.7,5.186143149,27.7,,,,10.1007/s11814-017-0278-8,,2018
0.7901,Null,,Null,,3.492560388,Mechanical grinding,350,3,250,30,2.88,7.677863501,23.14,76.86,5.131910769,27.54,,,,10.1007/s11814-017-0278-8,,2018
0.8037,Null,,Null,,3.559340083,Mechanical grinding,300,3,250,30,2.88,7.677863501,21.35,77.22,5.140878475,27.66,,,,10.1007/s11814-017-0278-8,,2018
0.8037,Null,,Null,,3.587123545,Mechanical grinding,330,3,250,30,2.88,7.677863501,22.54,81.32,5.194471671,27.72,,,,10.1007/s11814-017-0278-8,,2018
0.8037,Null,,Null,,3.642573701,Mechanical grinding,350,3,250,30,2.88,7.677863501,24.42,83.56,5.27391793,29.22,,,,10.1007/s11814-017-0278-8,,2018
0.8037,Null,,Null,,3.520756617,Mechanical grinding,400,3,250,30,2.88,7.677863501,23.15,80.5,5.221022084,28.76,,,,10.1007/s11814-017-0278-8,,2018
0.8037,Null,,Null,,3.642573701,Mechanical grinding,350,1,250,30,2.88,7.677863501,20.26,79.74,5.186374264,28.04,,,,10.1007/s11814-017-0278-9,,2018
0.8037,Null,,Null,,3.642573701,Mechanical grinding,350,2,250,30,2.88,7.677863501,18.32,81.68,5.229947003,28.6,,,,10.1007/s11814-017-0278-10,,2018
0.8037,Null,,Null,,3.642573701,Mechanical grinding,350,4,250,30,2.88,7.677863501,20.54,79.46,5.203931085,28.64,,,,10.1007/s11814-017-0278-11,,2018
1,HCOOH,6,Null,,3.150168627,Mechanical grinding,280,3,250,30,2.88,7.677863501,17.66,82.34,5.331513049,31.42,,,,10.1002/slct.201900860,CO2 Hydrogenation to Methanol via In-situ Reduced Cu/ZnO Catalyst Prepared by Formic acid Assisted Grinding,2019
1,HCOOH,6,Null,,3.292126287,Mechanical grinding,330,3,250,30,2.88,7.677863501,15.7,84.3,5.390399904,32.56,,,,10.1002/slct.201900860,,2019
1,HCOOH,6,Null,,3.278653029,Mechanical grinding,350,3,250,30,2.88,7.677863501,15.72,84.28,5.383415051,32.34,,,,10.1002/slct.201900860,,2019
1,HCOOH,6,Null,,3.294725137,Mechanical grinding,380,3,250,30,2.88,7.677863501,19.7,80.3,5.226127269,28.98,,,,10.1002/slct.201900860,,2019
